,Gold_Close,Gold_Volume,Oil_Close,Oil_Volume,Gas_Close,Gas_Volume,VIX,FED,PMI,Michi,Unemploy
2017-07-23,1254.300048828125,16.0,48.060001373291016,27053.0,2.9700000286102295,158256.0,9.359999656677246,1.15,52.0,93.4,4.3
2017-07-24,1253.9000244140625,8.0,48.599998474121094,25408.0,2.8989999294281006,128436.0,9.430000305175781,1.15,52.0,93.4,4.3
2017-07-25,1251.699951171875,18.0,50.20000076293945,27529.0,2.944000005722046,50576.0,9.430000305175781,1.15,52.0,93.4,4.3
2017-07-26,1249.0,7.0,50.970001220703125,26137.0,2.9240000247955322,45379.0,9.600000381469727,1.15,52.0,93.4,4.3
2017-07-27,1259.5999755859375,220309.0,51.4900016784668,21851.0,2.9690001010894775,175911.0,10.109999656677246,1.15,52.0,93.4,4.3
2017-07-28,1268.4000244140625,64180.0,52.52000045776367,12631.0,2.940999984741211,83193.0,10.289999961853027,1.15,52.0,93.4,4.3
2017-07-29,1268.4000244140625,64180.0,52.52000045776367,12631.0,2.940999984741211,83193.0,10.289999961853027,1.15,52.0,93.4,4.3
2017-07-30,1268.4000244140625,64180.0,52.52000045776367,12631.0,2.940999984741211,83193.0,10.289999961853027,1.15,52.0,93.4,4.3
2017-07-31,1266.5999755859375,7780.0,52.650001525878906,844.0,2.7939999103546143,176226.0,10.260000228881836,1.15,52.0,93.4,4.3
2017-08-01,1272.5999755859375,1061.0,52.630001068115234,33859.0,2.819000005722046,151158.0,10.09000015258789,1.16,53.3,96.8,4.4
2017-08-02,1271.800048828125,393.0,52.36000061035156,34625.0,2.811000108718872,111069.0,10.279999732971191,1.16,53.3,96.8,4.4
2017-08-03,1267.800048828125,878.0,52.0099983215332,34779.0,2.799999952316284,125787.0,10.4399995803833,1.16,53.3,96.8,4.4
2017-08-04,1258.300048828125,521.0,52.41999816894531,26969.0,2.7739999294281006,100740.0,10.029999732971191,1.16,53.3,96.8,4.4
2017-08-05,1258.300048828125,521.0,52.41999816894531,26969.0,2.7739999294281006,100740.0,10.029999732971191,1.16,53.3,96.8,4.4
2017-08-06,1258.300048828125,521.0,52.41999816894531,26969.0,2.7739999294281006,100740.0,10.029999732971191,1.16,53.3,96.8,4.4
2017-08-07,1258.199951171875,260.0,52.369998931884766,29496.0,2.8010001182556152,144959.0,9.930000305175781,1.16,53.3,96.8,4.4
2017-08-08,1256.4000244140625,555.0,52.13999938964844,24795.0,2.822000026702881,134191.0,10.960000038146973,1.16,53.3,96.8,4.4
2017-08-09,1273.0,574.0,52.70000076293945,26143.0,2.882999897003174,184358.0,11.109999656677246,1.16,53.3,96.8,4.4
2017-08-10,1283.699951171875,608.0,51.900001525878906,52899.0,2.984999895095825,262157.0,16.040000915527344,1.16,53.3,96.8,4.4
2017-08-11,1287.699951171875,139.0,52.099998474121094,25318.0,2.9830000400543213,137469.0,15.510000228881836,1.16,53.3,96.8,4.4
2017-08-12,1287.699951171875,139.0,52.099998474121094,25318.0,2.9830000400543213,137469.0,15.510000228881836,1.16,53.3,96.8,4.4
2017-08-13,1287.699951171875,139.0,52.099998474121094,25318.0,2.9830000400543213,137469.0,15.510000228881836,1.16,53.3,96.8,4.4
2017-08-14,1284.199951171875,338.0,50.72999954223633,29797.0,2.9590001106262207,130569.0,12.329999923706055,1.16,53.3,96.8,4.4
2017-08-15,1273.699951171875,188.0,50.79999923706055,35111.0,2.934999942779541,103177.0,12.039999961853027,1.16,53.3,96.8,4.4
2017-08-16,1276.9000244140625,110.0,50.27000045776367,33911.0,2.890000104904175,135731.0,11.739999771118164,1.16,53.3,96.8,4.4
2017-08-17,1286.4000244140625,43.0,51.029998779296875,43863.0,2.928999900817871,158462.0,15.550000190734863,1.16,53.3,96.8,4.4
2017-08-18,1285.699951171875,358.0,52.720001220703125,41235.0,2.8929998874664307,83316.0,14.260000228881836,1.16,53.3,96.8,4.4
2017-08-19,1285.699951171875,358.0,52.720001220703125,41235.0,2.8929998874664307,83316.0,14.260000228881836,1.16,53.3,96.8,4.4
2017-08-20,1285.699951171875,358.0,52.720001220703125,41235.0,2.8929998874664307,83316.0,14.260000228881836,1.16,53.3,96.8,4.4
2017-08-21,1290.800048828125,18.0,51.65999984741211,33088.0,2.9619998931884766,171194.0,13.1899995803833,1.16,53.3,96.8,4.4
2017-08-22,1285.0999755859375,100.0,51.869998931884766,36291.0,2.938999891281128,151718.0,11.350000381469727,1.16,53.3,96.8,4.4
2017-08-23,1288.9000244140625,250.0,52.56999969482422,31540.0,2.927999973297119,104361.0,12.25,1.16,53.3,96.8,4.4
2017-08-24,1286.5,550.0,52.040000915527344,38326.0,2.9489998817443848,105193.0,12.229999542236328,1.16,53.3,96.8,4.4
2017-08-25,1292.5,280.0,52.40999984741211,32957.0,2.8919999599456787,53985.0,11.279999732971191,1.16,53.3,96.8,4.4
2017-08-26,1292.5,280.0,52.40999984741211,32957.0,2.8919999599456787,53985.0,11.279999732971191,1.16,53.3,96.8,4.4
2017-08-27,1292.5,280.0,52.40999984741211,32957.0,2.8919999599456787,53985.0,11.279999732971191,1.16,53.3,96.8,4.4
